ID;Species;country_id;first_area_sighting;msfd_id
1;Ablennes hians;IL;2018;EMED
1;Ablennes hians;LB;2021;EMED
1;Ablennes hians;MT;2018;CMED
1;Ablennes hians;SY;2019;EMED
1;Ablennes hians;TR;2021;EMED
2;Abudefduf cf. saxatilis/vaigiensis/troschelii;CY;2021;EMED
2;Abudefduf cf. saxatilis/vaigiensis/troschelii;IL;1997;EMED
2;Abudefduf cf. saxatilis/vaigiensis/troschelii;LB;2012;EMED
2;Abudefduf cf. saxatilis/vaigiensis/troschelii;LY;2018;CMED
2;Abudefduf cf. saxatilis/vaigiensis/troschelii;MT;2013;CMED
2;Abudefduf cf. saxatilis/vaigiensis/troschelii;SY;2018;EMED
2;Abudefduf cf. saxatilis/vaigiensis/troschelii;TR;2016;EMED
3;Acanthopagrus bifasciatus ;EG;2020;EMED
3;Acanthopagrus bifasciatus ;ES;2019;WMED
3;Acanthopagrus bifasciatus ;SY;2022;EMED
3;Acanthopagrus bifasciatus ;TN;2010;WMED
3;Acanthopagrus bifasciatus ;TR;2018;EMED
4;Acanthurus coeruleus ;CY;2011;EMED
4;Acanthurus coeruleus ;IL;2014;CMED
4;Acanthurus coeruleus ;MT;2013;CMED
5;Acanthurus sohal ;EG;2022;EMED
5;Acanthurus sohal ;GR;2017;EMED
5;Acanthurus sohal ;PS;2018;EMED
6;Alepes djedaba;CY;1961;EMED
6;Alepes djedaba;EG;1992;EMED
6;Alepes djedaba;GR;1960;EMED
6;Alepes djedaba;GR;1987;CMED
6;Alepes djedaba;IL;1924;EMED
6;Alepes djedaba;LB;1962;EMED
6;Alepes djedaba;LY;1990;CMED
6;Alepes djedaba;MT;1961;CMED
6;Alepes djedaba;PS;1924;EMED
6;Alepes djedaba;SY;1987;EMED
6;Alepes djedaba;TN;2012;CMED
6;Alepes djedaba;TR;1966;EMED
6;Alepes djedaba;TR;1955;EMED
7;Ambassis dussumieri;IL;2021;EMED
8;Apogonichthyoides pharaonis;CY;1964;EMED
8;Apogonichthyoides pharaonis;EG;1924;EMED
8;Apogonichthyoides pharaonis;EG;1994;EMED
8;Apogonichthyoides pharaonis;GR;1982;EMED
8;Apogonichthyoides pharaonis;GR;2010;EMED
8;Apogonichthyoides pharaonis;IL;1946;EMED
8;Apogonichthyoides pharaonis;LB;1962;EMED
8;Apogonichthyoides pharaonis;LY;2020;CMED
8;Apogonichthyoides pharaonis;PS;1947;EMED
8;Apogonichthyoides pharaonis;SY;1991;EMED
8;Apogonichthyoides pharaonis;TR;2002;EMED
8;Apogonichthyoides pharaonis;TR;1984;EMED
9;Argyrops filamentosus;TN;2020;WMED
9;Argyrops filamentosus;TR;2015;EMED
10;Arnoglossus nigrofilamentosus;IL;2017;EMED
11;Arothron hispidus;CY;2018;EMED
11;Arothron hispidus;LB;2020;EMED
12;Atherinomorus forskalii;CY;1929;EMED
12;Atherinomorus forskalii;DZ;2004;WMED
12;Atherinomorus forskalii;EG;1902;EMED
12;Atherinomorus forskalii;GR;2015;EMED
12;Atherinomorus forskalii;GR;1986;EMED
12;Atherinomorus forskalii;GR;2012;CMED
12;Atherinomorus forskalii;IL;1924;EMED
12;Atherinomorus forskalii;LB;1962;EMED
12;Atherinomorus forskalii;LY;1929;CMED
12;Atherinomorus forskalii;SY;1999;EMED
12;Atherinomorus forskalii;TN;2005;CMED
12;Atherinomorus forskalii;TR;1966;EMED
12;Atherinomorus forskalii;TR;1949;EMED
13;Bathygobius cyclopterus;EG;2017;EMED
14;Bregmaceros nectabanus;AL;2021;ADRIA
14;Bregmaceros nectabanus;EG;2014;EMED
14;Bregmaceros nectabanus;GR;2014;EMED
14;Bregmaceros nectabanus;GR;2016;CMED
14;Bregmaceros nectabanus;HR;2020;ADRIA
14;Bregmaceros nectabanus;IL;2004;EMED
14;Bregmaceros nectabanus;IT;2019;ADRIA
14;Bregmaceros nectabanus;SY;2018;EMED
14;Bregmaceros nectabanus;TR;2005;EMED
14;Bregmaceros nectabanus;TR;2002;EMED
15;Caesio varilineata ;EG;2018;EMED
16;Callionymus filamentosus;CY;2016;EMED
16;Callionymus filamentosus;EG;1994;EMED
16;Callionymus filamentosus;GR;2003;EMED
16;Callionymus filamentosus;GR;2016;EMED
16;Callionymus filamentosus;GR;2007;CMED
16;Callionymus filamentosus;IL;1953;EMED
16;Callionymus filamentosus;LB;<1960;EMED
16;Callionymus filamentosus;SY;1991;EMED
16;Callionymus filamentosus;TR;2010;EMED
16;Callionymus filamentosus;TR;1983;EMED
17;Cephalopholis argus;TN;2021;CMED
18;Chaetodon austriacus;IL;2011;EMED
19;Chaetodon larvatus;IL;2011;EMED
19;Chaetodon larvatus;SY;2016;EMED
20;Champsodon nudivittis;GR;2012;EMED
20;Champsodon nudivittis;IL;2011;EMED
20;Champsodon nudivittis;LB;2010;EMED
20;Champsodon nudivittis;SY;2015;EMED
20;Champsodon nudivittis;TR;2010;EMED
20;Champsodon nudivittis;TR;2008;EMED
21;Cheilodipterus novemstriatus;CY;2015;EMED
21;Cheilodipterus novemstriatus;GR;2020;EMED
21;Cheilodipterus novemstriatus;IL;2010;EMED
21;Cheilodipterus novemstriatus;LB;2012;EMED
21;Cheilodipterus novemstriatus;SY;2016;EMED
21;Cheilodipterus novemstriatus;TR;2014;EMED
22;Coryogalops ocheticus;EG;1924;EMED
23;Crenidens crenidens;EG;1882;EMED
23;Crenidens crenidens;IL;1947;EMED
23;Crenidens crenidens;LB;2012;EMED
23;Crenidens crenidens;LY;1999;CMED
23;Crenidens crenidens;SY;2001;EMED
24;Cryptocentrus caeruleopunctatus;IL;2014;EMED
25;Cryptocentrus steinhardti;IL;2012;EMED
26;Ctenogobius boleosoma;IT;2021;CMED
26;Ctenogobius boleosoma;TR;2019;EMED
27;Cyclichthys spilostylus;IL;1992;EMED
27;Cyclichthys spilostylus;LB;2011;EMED
27;Cyclichthys spilostylus;SY;2002;EMED
27;Cyclichthys spilostylus;TR;2011;EMED
28;Cynoglossus sinusarabici;EG;1992;EMED
28;Cynoglossus sinusarabici;IL;1953;EMED
28;Cynoglossus sinusarabici;LB;1964;EMED
28;Cynoglossus sinusarabici;SY;1991;EMED
28;Cynoglossus sinusarabici;TR;2014;EMED
28;Cynoglossus sinusarabici;TR;1955;EMED
29;Decapterus russelli;IL;2005;EMED
29;Decapterus russelli;LB;2006;EMED
29;Decapterus russelli;TR;2009;EMED
30;Diodon hystrix;CY;2017;EMED
30;Diodon hystrix;LB;2019;EMED
31;Diplogrammus randalli;TR;2016;EMED
32;Dipterygonotus balteatus ;LB;2017;EMED
33;Dussumieria elopsoides;CY;2005;EMED
33;Dussumieria elopsoides;EG;1971;EMED
33;Dussumieria elopsoides;IL;1949;EMED
33;Dussumieria elopsoides;LB;1962;EMED
33;Dussumieria elopsoides;SY;2001;EMED
33;Dussumieria elopsoides;TR;1952;EMED
34;Encrasicholina gloria;IL;2009;EMED
34;Encrasicholina gloria;TR;2014;EMED
35;Epinephelus areolatus;IL;2015;EMED
35;Epinephelus areolatus;LB;2019;EMED
35;Epinephelus areolatus;SY;2019;EMED
36;Epinephelus coioides;IL;1966;EMED
36;Epinephelus coioides;IT;1998;ADRIA
36;Epinephelus coioides;SY;2002;EMED
36;Epinephelus coioides;TR;2014;EMED
37;Epinephelus fasciatus;LB;2011;EMED
37;Epinephelus fasciatus;SY;2002;EMED
37;Epinephelus fasciatus;TN;2020;CMED
38;Epinephelus geoffroyi;IL;2015;EMED
39;Epinephelus malabaricus;EG;1992;EMED
39;Epinephelus malabaricus;IL;1966;EMED
39;Epinephelus malabaricus;MT;2011;CMED
39;Epinephelus malabaricus;SY;2002;EMED
40;Equulites klunzingeri;CY;1961;EMED
40;Equulites klunzingeri;EG;1924;EMED
40;Equulites klunzingeri;GR;1946-64;EMED
40;Equulites klunzingeri;HR;2000;ADRIA
40;Equulites klunzingeri;IL;1924;EMED
40;Equulites klunzingeri;IT;1956;CMED
40;Equulites klunzingeri;LB;1931;EMED
40;Equulites klunzingeri;SY;1930;EMED
40;Equulites klunzingeri;TN;1986;CMED
40;Equulites klunzingeri;TR;1966;EMED
40;Equulites klunzingeri;TR;1942;EMED
41;Equulites leuciscus;TR;2021;EMED
41;Equulites leuciscus;TR;2021;EMED
42;Equulites popei;IL;2011;EMED
42;Equulites popei;LB;2016;EMED
42;Equulites popei;SY;2020;EMED
42;Equulites popei;TR;2014;EMED
43;Etrumeus golanii;CY;1999;EMED
43;Etrumeus golanii;DZ;2017;WMED
43;Etrumeus golanii;EG;1992;EMED
43;Etrumeus golanii;GR;1999;EMED
43;Etrumeus golanii;GR;2015;EMED
43;Etrumeus golanii;IL;1961;EMED
43;Etrumeus golanii;IT;2005;CMED
43;Etrumeus golanii;LB;1931;EMED
43;Etrumeus golanii;LY;2017;CMED
43;Etrumeus golanii;MA;2018;WMED
43;Etrumeus golanii;MT;2005;CMED
43;Etrumeus golanii;SY;2001;EMED
43;Etrumeus golanii;TN;2014;CMED
43;Etrumeus golanii;TN;2017;WMED
43;Etrumeus golanii;TR;2002;EMED
43;Etrumeus golanii;TR;1994;EMED
44;Favonigobius melanobranchus;EG;1978;EMED
45;Fistularia commersonii;CY;1999;EMED
45;Fistularia commersonii;DZ;2008;WMED
45;Fistularia commersonii;EG;2001;EMED
45;Fistularia commersonii;ES;2007;WMED
45;Fistularia commersonii;FR;2007;WMED
45;Fistularia commersonii;GR;2001;EMED
45;Fistularia commersonii;GR;2002;EMED
45;Fistularia commersonii;GR;2007;CMED
45;Fistularia commersonii;HR;2006;ADRIA
